epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1396,2.04623,2.46327,1.74157,0.57231,0.38552,0.45634,0.20509,1.81611,2.10731,1.69993,0.0670421,0.000332908,0.000332908
2,33.4195,1.84434,1.94631,1.69586,0.52278,0.48597,0.46627,0.21696,1.75467,2.52931,1.72944,0.0340377,0.000661844,0.000661844
3,49.9,1.7115,1.74303,1.60525,0.59739,0.42097,0.49021,0.24432,1.73468,1.67861,1.73009,0.00102895,0.00098638,0.00098638
4,66.4971,1.67209,1.62543,1.56627,0.49049,0.44904,0.43186,0.21019,1.62719,2.38195,1.60827,0.0009802,0.0009802,0.0009802
5,82.9984,1.65074,1.55198,1.57329,0.56215,0.48301,0.49753,0.24141,1.75632,2.05125,1.78782,0.0009736,0.0009736,0.0009736
6,99.2248,1.63125,1.53256,1.52194,0.55181,0.50558,0.46302,0.21113,2.00157,1.81108,1.93645,0.000967,0.000967,0.000967
7,115.363,1.56348,1.45738,1.48499,0.53559,0.45824,0.46356,0.20676,2.00913,1.85794,2.01362,0.0009604,0.0009604,0.0009604
8,131.663,1.54947,1.42748,1.48318,0.67039,0.53323,0.61309,0.32022,1.6597,1.48325,1.66918,0.0009538,0.0009538,0.0009538
9,148.021,1.52277,1.4073,1.48663,0.7078,0.5367,0.62688,0.33233,1.6222,1.36631,1.62753,0.0009472,0.0009472,0.0009472
10,164.478,1.47347,1.35707,1.43191,0.70128,0.51669,0.62191,0.32386,1.57517,1.37938,1.64065,0.0009406,0.0009406,0.0009406
11,180.665,1.47615,1.32352,1.42932,0.63058,0.5805,0.6462,0.35201,1.51225,1.22998,1.56453,0.000934,0.000934,0.000934
12,197.228,1.45412,1.31708,1.42377,0.35941,0.37223,0.37795,0.1928,1.58862,1.58256,1.62408,0.0009274,0.0009274,0.0009274
13,213.751,1.42352,1.31025,1.39329,0.64185,0.57974,0.62841,0.32401,1.54724,1.31419,1.54548,0.0009208,0.0009208,0.0009208
14,230.172,1.39101,1.26969,1.37585,0.66916,0.59084,0.65619,0.35359,1.61473,1.34166,1.61262,0.0009142,0.0009142,0.0009142
15,246.639,1.37331,1.19799,1.37534,0.70299,0.56869,0.6538,0.32522,1.6869,1.33567,1.72024,0.0009076,0.0009076,0.0009076
16,262.946,1.35945,1.18303,1.36402,0.72815,0.58789,0.67169,0.3708,1.51782,2.06816,1.601,0.000901,0.000901,0.000901
17,279.688,1.32405,1.14802,1.34515,0.68572,0.57459,0.65599,0.34169,1.56779,1.31511,1.61057,0.0008944,0.0008944,0.0008944
18,296.238,1.33854,1.16424,1.36004,0.61825,0.54357,0.61646,0.31114,1.65361,1.33209,1.69421,0.0008878,0.0008878,0.0008878
19,312.901,1.34119,1.14205,1.36756,0.62072,0.58936,0.61834,0.31236,1.64068,1.44619,1.67798,0.0008812,0.0008812,0.0008812
20,329.324,1.31535,1.0729,1.35248,0.62891,0.61891,0.64464,0.33702,1.58022,1.23342,1.59357,0.0008746,0.0008746,0.0008746
21,345.765,1.32386,1.11457,1.33591,0.60045,0.60602,0.60457,0.31816,1.5141,1.18322,1.54644,0.000868,0.000868,0.000868
22,362.442,1.3202,1.12087,1.34162,0.67186,0.60414,0.66803,0.35895,1.57307,1.21539,1.60147,0.0008614,0.0008614,0.0008614
