epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.1614,1.46141,2.6903,1.58794,0.00638,0.57143,0.45925,0.2213,1.29777,3.00494,1.4662,0.000544327,0.000544327,0.000544327
2,9.78567,1.53525,2.23757,1.64526,0.60705,0.35714,0.42319,0.21428,1.71645,2.51531,1.7022,0.0010891,0.0010891,0.0010891
3,14.4307,1.5536,2.10648,1.63382,0.80755,0.42857,0.50556,0.31561,1.50223,2.5294,1.59165,0.00162288,0.00162288,0.00162288
4,19.1109,1.56953,1.9952,1.65338,0.38486,0.78571,0.49927,0.28297,1.59392,2.06084,1.78593,0.00161749,0.00161749,0.00161749
5,23.7338,1.56672,1.94342,1.65266,0.59757,0.85714,0.72597,0.41665,1.55205,1.99044,1.62962,0.00160099,0.00160099,0.00160099
6,28.4449,1.51558,1.76687,1.62189,0.64584,0.52234,0.64638,0.40414,1.38038,1.72353,1.56994,0.00158448,0.00158448,0.00158448
7,33.1048,1.48356,1.71454,1.58917,0.65798,0.68823,0.71275,0.46235,1.19072,1.98753,1.26062,0.00156798,0.00156798,0.00156798
8,37.7793,1.45281,1.6314,1.57014,0.96017,0.42857,0.6729,0.47003,1.32049,1.5743,1.52423,0.00155148,0.00155148,0.00155148
9,42.4694,1.42838,1.56203,1.53665,0.83569,0.71429,0.83307,0.56497,1.33069,1.12514,1.37967,0.00153497,0.00153497,0.00153497
10,47.1233,1.40225,1.51806,1.52149,0.81326,0.62351,0.75849,0.46129,1.50719,1.45468,1.58382,0.00151847,0.00151847,0.00151847
11,51.7439,1.39192,1.44349,1.51901,0.84724,0.71429,0.76987,0.47536,1.34687,1.58848,1.45512,0.00150197,0.00150197,0.00150197
12,56.3769,1.37249,1.41684,1.4953,0.72991,0.71429,0.81092,0.53921,1.3496,1.40712,1.43657,0.00148546,0.00148546,0.00148546
13,61.0871,1.35205,1.39166,1.4774,0.67026,0.78571,0.73283,0.47055,1.26725,1.39335,1.41398,0.00146896,0.00146896,0.00146896
14,66.0011,1.33017,1.29971,1.45374,0.87736,0.71429,0.86389,0.58768,1.18531,0.98668,1.3319,0.00145246,0.00145246,0.00145246
15,70.6962,1.26876,1.25533,1.41063,0.75517,0.92857,0.85697,0.57697,1.07834,1.05083,1.26758,0.00143595,0.00143595,0.00143595
16,75.3372,1.33466,1.29741,1.45635,0.78609,0.71429,0.84368,0.5018,1.41241,1.28022,1.51303,0.00141945,0.00141945,0.00141945
17,79.9813,1.28101,1.20344,1.41194,0.75428,0.87791,0.87373,0.64383,1.13966,1.0045,1.27393,0.00140295,0.00140295,0.00140295
18,84.6531,1.25992,1.13404,1.38824,0.96527,0.64286,0.86507,0.5678,1.26754,1.10154,1.38449,0.00138644,0.00138644,0.00138644
19,89.3387,1.24982,1.16424,1.40005,1,0.71397,0.90683,0.55571,1.35754,1.12667,1.43522,0.00136994,0.00136994,0.00136994
20,93.9682,1.2379,1.12659,1.37653,0.95494,0.71429,0.80611,0.51994,1.20997,1.53115,1.39539,0.00135344,0.00135344,0.00135344
21,98.6169,1.26733,1.14352,1.41055,0.79209,0.81758,0.86405,0.60236,1.27171,1.05542,1.37195,0.00133693,0.00133693,0.00133693
22,103.249,1.22091,1.1023,1.35318,0.74144,0.85714,0.8726,0.58155,1.15823,0.95873,1.34652,0.00132043,0.00132043,0.00132043
23,107.877,1.23798,1.08526,1.38047,1,0.81991,0.93109,0.59036,1.33297,0.96819,1.44103,0.00130393,0.00130393,0.00130393
24,112.523,1.17597,1.0269,1.33059,1,0.78157,0.91033,0.65633,1.12645,0.86048,1.24823,0.00128742,0.00128742,0.00128742
25,117.212,1.19961,1.06543,1.36926,0.45819,0.78529,0.67413,0.47728,1.20177,1.32292,1.27485,0.00127092,0.00127092,0.00127092
26,121.848,1.17704,1.04752,1.35907,0.77644,0.85714,0.90989,0.64487,1.15903,0.8471,1.28133,0.00125442,0.00125442,0.00125442
27,126.508,1.16544,1.01157,1.33171,0.82702,0.78571,0.91722,0.69929,1.0861,0.83227,1.22647,0.00123791,0.00123791,0.00123791
28,131.205,1.16319,1.01879,1.3395,0.97383,0.85714,0.925,0.62727,1.26051,0.93904,1.34176,0.00122141,0.00122141,0.00122141
29,136.011,1.16296,0.99308,1.32335,0.83917,0.78571,0.87123,0.60649,1.15478,0.9949,1.33294,0.00120491,0.00120491,0.00120491
30,140.65,1.16155,1.01307,1.33876,0.89874,0.63476,0.81979,0.56072,1.20664,1.03138,1.32749,0.0011884,0.0011884,0.0011884
31,145.298,1.1147,0.94563,1.28392,0.91081,0.78571,0.92667,0.67746,1.12633,0.82056,1.32798,0.0011719,0.0011719,0.0011719
32,149.945,1.12292,0.95337,1.30884,0.97889,0.78571,0.91386,0.65266,1.08476,0.89059,1.28342,0.0011554,0.0011554,0.0011554
33,154.596,1.09611,0.91674,1.29266,0.85074,0.81549,0.89613,0.63752,1.04961,0.92105,1.20462,0.00113889,0.00113889,0.00113889
34,159.228,1.13554,0.96065,1.33481,0.86497,0.91587,0.94948,0.59883,1.26885,0.785,1.35936,0.00112239,0.00112239,0.00112239
35,163.904,1.10157,0.923,1.29372,0.74857,0.92857,0.92381,0.59418,1.2279,0.87162,1.28374,0.00110589,0.00110589,0.00110589
36,168.544,1.10071,0.91477,1.29548,0.79508,0.83256,0.80352,0.60388,1.01381,0.98012,1.19631,0.00108938,0.00108938,0.00108938
37,173.209,1.0631,0.89921,1.26158,0.86387,0.90759,0.89975,0.61699,1.16592,0.76346,1.25401,0.00107288,0.00107288,0.00107288
38,177.857,1.06988,0.88881,1.27392,0.91967,0.85714,0.90244,0.6031,1.07866,0.8824,1.2273,0.00105638,0.00105638,0.00105638
39,182.479,1.06995,0.87722,1.27243,0.91189,0.85714,0.92963,0.64189,1.2087,0.86678,1.24929,0.00103987,0.00103987,0.00103987
40,187.123,1.05205,0.86267,1.26198,0.95187,0.71429,0.90103,0.62186,1.20777,0.9937,1.26974,0.00102337,0.00102337,0.00102337
41,191.79,1.05236,0.8746,1.25803,0.91392,0.85714,0.88679,0.59936,1.11933,0.79429,1.47771,0.00100687,0.00100687,0.00100687
42,196.417,1.02785,0.84412,1.25474,1,0.8411,0.95271,0.64651,1.077,0.81445,1.28855,0.000990365,0.000990365,0.000990365
43,201.064,1.00163,0.82734,1.23286,0.9843,0.78571,0.93822,0.62476,1.2525,0.80552,1.35959,0.000973861,0.000973861,0.000973861
44,205.72,1.02947,0.83213,1.25077,0.73314,1,0.89807,0.61704,1.11558,0.68872,1.26386,0.000957358,0.000957358,0.000957358
45,210.372,1.00967,0.81462,1.21892,0.83701,0.78571,0.85146,0.60205,1.15631,0.88479,1.34447,0.000940855,0.000940855,0.000940855
46,215.027,1.00135,0.81873,1.21076,0.74596,0.85714,0.83011,0.58379,1.18904,0.95677,1.2394,0.000924352,0.000924352,0.000924352
47,219.93,0.99835,0.79188,1.21114,0.76333,0.92191,0.86773,0.58997,1.08236,0.88122,1.21895,0.000907848,0.000907848,0.000907848
48,224.59,0.98941,0.79774,1.21328,0.99179,0.92857,0.94349,0.71843,0.93779,0.71465,1.18448,0.000891345,0.000891345,0.000891345
49,229.298,0.97709,0.8037,1.21675,0.92725,0.92857,0.98265,0.68244,1.18568,0.69821,1.29126,0.000874842,0.000874842,0.000874842
50,233.94,0.98643,0.79532,1.21439,0.74024,0.85714,0.87513,0.57478,1.20928,0.79786,1.30161,0.000858338,0.000858338,0.000858338
51,238.582,0.96404,0.76342,1.2083,0.85841,0.92857,0.92967,0.65105,1.06417,0.69939,1.22194,0.000841835,0.000841835,0.000841835
52,243.24,0.95302,0.73268,1.19343,0.89817,0.78571,0.88786,0.57701,1.26689,0.91306,1.41472,0.000825332,0.000825332,0.000825332
53,247.907,0.95783,0.75785,1.19315,0.74685,0.84364,0.87303,0.67731,1.02291,0.83372,1.17623,0.000808828,0.000808828,0.000808828
54,252.568,0.93289,0.74249,1.18412,0.85448,0.83981,0.92083,0.67387,0.96301,0.74999,1.17216,0.000792325,0.000792325,0.000792325
55,257.194,0.93699,0.7407,1.18356,0.79049,0.85714,0.9272,0.71448,0.88125,0.67065,1.08778,0.000775822,0.000775822,0.000775822
56,261.849,0.93749,0.7343,1.18677,1,0.63587,0.84816,0.60208,1.08684,0.93161,1.2891,0.000759318,0.000759318,0.000759318
57,266.542,0.93248,0.71148,1.17474,0.7603,0.92857,0.87842,0.60682,1.05209,0.84399,1.24329,0.000742815,0.000742815,0.000742815
58,271.2,0.91994,0.71068,1.17713,0.73438,0.92857,0.8946,0.61567,1.02148,0.79497,1.19922,0.000726312,0.000726312,0.000726312
59,275.845,0.90794,0.72228,1.17117,0.77953,0.78571,0.86986,0.62885,0.94283,0.81682,1.2262,0.000709809,0.000709809,0.000709809
60,280.497,0.89785,0.6843,1.16444,0.9227,0.85291,0.937,0.67866,0.92699,0.61662,1.17451,0.000693305,0.000693305,0.000693305
61,285.17,0.89804,0.69023,1.14401,0.87061,0.92857,0.90066,0.60754,1.05727,0.88715,1.26277,0.000676802,0.000676802,0.000676802
62,289.813,0.88198,0.68192,1.15049,0.85458,0.84046,0.89167,0.64142,0.94386,0.83094,1.13261,0.000660299,0.000660299,0.000660299
63,294.449,0.89078,0.69553,1.14681,0.92241,0.84968,0.8952,0.67271,1.00976,0.77099,1.16375,0.000643795,0.000643795,0.000643795
64,299.169,0.8855,0.68531,1.15482,0.80271,0.92857,0.92628,0.67141,1.06088,0.70726,1.26562,0.000627292,0.000627292,0.000627292
65,303.81,0.87938,0.66473,1.14937,0.92295,0.85573,0.92733,0.72264,0.8827,0.70043,1.13973,0.000610789,0.000610789,0.000610789
66,309.102,0.8666,0.65184,1.13746,0.92259,0.85173,0.86205,0.58668,1.22614,1.14098,1.37958,0.000594286,0.000594286,0.000594286
67,313.76,0.85955,0.64666,1.12749,0.71149,0.85714,0.85928,0.65252,0.84309,0.81862,1.17907,0.000577782,0.000577782,0.000577782
68,318.434,0.86325,0.65244,1.13242,0.81229,0.92735,0.90715,0.67348,0.96799,0.73849,1.19133,0.000561279,0.000561279,0.000561279
69,323.087,0.84041,0.61882,1.1224,1,0.77279,0.87642,0.64735,0.98112,0.96281,1.19875,0.000544776,0.000544776,0.000544776
70,327.731,0.86006,0.6544,1.14529,0.85533,0.84536,0.89681,0.65841,1.00637,0.8266,1.19091,0.000528272,0.000528272,0.000528272
71,332.395,0.84607,0.63515,1.12505,0.8347,0.78571,0.90601,0.67914,0.94932,0.7292,1.15185,0.000511769,0.000511769,0.000511769
72,337.077,0.84466,0.63576,1.13787,0.77024,0.85714,0.88144,0.64955,0.92982,0.79704,1.1144,0.000495266,0.000495266,0.000495266
73,341.733,0.83775,0.62534,1.11224,0.79848,0.85714,0.88011,0.6569,1.02209,0.7735,1.16761,0.000478762,0.000478762,0.000478762
74,346.38,0.81843,0.61211,1.11283,0.79761,0.8452,0.86934,0.64118,1.07791,0.89515,1.27353,0.000462259,0.000462259,0.000462259
75,351.012,0.81846,0.60121,1.11214,0.87216,0.78571,0.89167,0.63251,1.04045,0.72594,1.2639,0.000445756,0.000445756,0.000445756
76,355.656,0.8071,0.61236,1.10889,0.76007,0.90607,0.89052,0.67111,0.9881,0.79099,1.2481,0.000429253,0.000429253,0.000429253
77,360.317,0.82862,0.60886,1.11283,0.72926,0.85714,0.87204,0.65348,1.04127,0.85795,1.24545,0.000412749,0.000412749,0.000412749
78,364.953,0.80585,0.59293,1.10136,0.78223,0.78571,0.84419,0.61446,1.02313,1.01074,1.22443,0.000396246,0.000396246,0.000396246
79,369.614,0.80697,0.5881,1.10584,0.84615,0.7857,0.86209,0.61629,1.09554,1.01568,1.2231,0.000379743,0.000379743,0.000379743
80,374.258,0.7885,0.57677,1.08827,0.98952,0.85714,0.93753,0.73418,0.89423,0.7043,1.13416,0.000363239,0.000363239,0.000363239
81,379.016,0.78714,0.57741,1.10118,0.86056,0.92857,0.89925,0.69706,0.93231,0.72364,1.14488,0.000346736,0.000346736,0.000346736
82,383.716,0.81025,0.59022,1.10728,0.97289,0.78571,0.95389,0.78553,0.73733,0.57412,1.06226,0.000330233,0.000330233,0.000330233
83,388.722,0.77347,0.57857,1.08851,1,0.7626,0.90175,0.71765,0.8591,0.75478,1.10356,0.000313729,0.000313729,0.000313729
84,393.361,0.74871,0.56096,1.07934,0.93793,0.78571,0.91956,0.73605,0.80208,0.74926,1.06944,0.000297226,0.000297226,0.000297226
85,398.004,0.75954,0.57432,1.07858,0.9228,0.85408,0.93395,0.79177,0.72667,0.64328,1.05278,0.000280723,0.000280723,0.000280723
86,402.682,0.77446,0.56497,1.08873,0.84466,0.85714,0.92384,0.72879,0.81879,0.68295,1.10839,0.00026422,0.00026422,0.00026422
87,407.318,0.76381,0.56557,1.08807,0.98027,0.78571,0.92897,0.72626,0.81644,0.70414,1.06945,0.000247716,0.000247716,0.000247716
88,411.965,0.74743,0.55439,1.07634,0.72943,0.96377,0.92227,0.69299,0.91888,0.70203,1.1358,0.000231213,0.000231213,0.000231213
89,416.643,0.74079,0.54087,1.07237,0.76367,0.92355,0.91871,0.69612,0.83528,0.64595,1.07834,0.00021471,0.00021471,0.00021471
90,421.322,0.72811,0.52872,1.04736,0.9275,0.91467,0.94761,0.7496,0.77926,0.56286,1.0567,0.000198206,0.000198206,0.000198206
91,426.779,0.64825,0.42789,1.01183,0.8614,0.92857,0.91591,0.7073,0.8439,0.61943,1.09263,0.000181703,0.000181703,0.000181703
92,431.373,0.62804,0.39982,1.0025,0.92783,0.91897,0.93882,0.74273,0.83204,0.58556,1.07029,0.0001652,0.0001652,0.0001652
